# Second test
 -5.43690170   8.99820206
 -5.31159047  10.21691434
 -5.18871232  11.42971051
 -5.06830172  12.63668258
 -4.95038830  13.83792705
 -4.83499750  15.03354545
 -4.72215227  16.22364572
 -4.61186977  17.40833574
 -4.50416568  18.58772961
 -4.39905229  19.76194360
 -4.29653712  20.93109682
 -4.19663091  22.09530956
 -4.09933733  23.25470469
 -4.00465958  24.40940636
 -3.91259911  25.55953992
 -3.82315583  26.70523171
 -3.73632828  27.84660880
 -3.65211378  28.98379880
 -3.57050860  30.11692973
 -3.49150808  31.24612979
 -3.41510678  32.37152729
 -3.34129857  33.49325051
 -3.27007678  34.61142757
 -3.20143425  35.72618637
 -3.13536347  36.83765453
 -3.07185663  37.94595926
 -3.01090573  39.05122739
 -2.95250263  40.15358525
 -2.89663911  41.25315870
 -2.84330697  42.35007304
 -2.79250127  43.44445357
 -2.74420706  44.53642351
 -2.69842008  45.62610700
 -2.65513261  46.71362714
 -2.61433713  47.79910647
 -2.57602641  48.88266698
 -2.54019350  49.96443015
 -2.50683177  51.04451691
 -2.47593494  52.12304772
 -2.44749711  53.20014256
 -2.42151276  54.27592096
 -2.39797679  55.35050204
 -2.37688453  56.42400455
 -2.35823175  57.49654686
 -2.34201467  58.56824705
 -2.32823015  59.63922037
 -2.31687503  60.70959010
 -2.30794714  61.77947017
 -2.30144464  62.84897778
 -2.29736618  63.91822999
 -2.29571094  64.98734381
 -2.29647856  66.05643630
 -2.29966896  67.12562447
 -2.30528334  68.19502463
 -2.31332178  69.26475417
 -2.32378747  70.33493028
 -2.33668163  71.40566957
 -2.35200721  72.47709050
 -2.36976711  73.54931030
 -2.38996500  74.62244668
 -2.41260494  75.69661770
 -2.43769131  76.77194641
 -2.46522921  77.84854506
 -2.49522385  78.92653584
 -2.52768091  80.00603857
 -2.56260643  81.08717355
 -2.60000674  82.17006154
 -2.63988849  83.25482389
 -2.68226728  84.34158011
 -2.72713703  85.43045614
 -2.77451104  86.52157326
 -2.82439712  87.61505489
 -2.87680326  88.71102512
 -2.93173763  89.80960868
 -2.98920854  90.91093100
 -3.04922444  92.01511811
 -3.11179385  93.12229649
