X,Y,Polarity,Timestamp
84,66,0,25915897
114,50,0,25916038
101,57,0,25916053
71,75,1,25916097
71,75,1,25916098
110,64,1,25916148
105,55,0,25916189
81,68,0,25916256
63,125,1,25916415
63,125,1,25916416
63,125,1,25916417
63,125,1,25916418
65,68,0,25916458
40,50,0,25916503
52,59,0,25916517
39,50,0,25916577
60,64,0,25916641
64,67,0,25916648
36,48,0,25916668
69,122,1,25916709
69,122,1,25916710
69,122,1,25916711
69,122,1,25916712
49,57,0,25916726
68,70,0,25916810
44,53,0,25916900
58,63,0,25916979
43,53,0,25917021
86,65,0,25917064
51,107,1,25917071
107,54,0,25917073
82,67,0,25917079
82,68,0,25917083
78,110,1,25917136
83,67,0,25917139
118,51,1,25917163
81,67,0,25917193
71,72,0,25917200
49,103,1,25917207
80,68,0,25917384
94,61,0,25917425
49,119,1,25917477
88,64,0,25917671
90,94,1,25917771
46,55,0,25917850
48,56,0,25917873
31,44,0,25917906
87,98,1,25917987
87,98,1,25917988
87,98,1,25917989
77,70,0,25918227
92,62,0,25918231
67,69,0,25918279
25,40,0,25918281
35,46,0,25918302
55,61,0,25918352
59,64,0,25918359
15,126,1,25918377
15,126,1,25918378
15,126,1,25918380
115,56,1,25918413
62,66,0,25918481
100,58,0,25918520
66,125,1,25918590
66,125,1,25918591
74,71,0,25918629
79,69,0,25918645
48,101,1,25918666
48,101,1,25918667
54,60,0,25918699
99,58,0,25918789
110,64,1,25918887
14,112,1,25918899
14,112,1,25918901
60,126,1,25918940
60,126,1,25918941
96,60,0,25918975
79,109,1,25919023
79,109,1,25919024
79,109,1,25919025
65,68,0,25919036
75,71,0,25919043
108,67,1,25919081
89,64,0,25919135
107,54,0,25919184
109,53,0,25919214
109,53,0,25919215
109,53,0,25919216
86,99,1,25919275
116,49,0,25919401
87,97,1,25919474
87,97,1,25919475
87,97,1,25919476
71,119,1,25919478
71,119,1,25919479
71,119,1,25919480
124,119,0,25919515
118,48,0,25919532
119,47,1,25919631
70,85,0,25919765
92,90,1,25919813
92,90,1,25919815
92,90,1,25919816
92,90,1,25919817
69,71,0,25919883
41,51,0,25919892
114,49,0,25919990
68,70,0,25920038
112,61,1,25920082
35,47,0,25920120
14,114,1,25920158
14,114,1,25920159
14,114,1,25920160
105,72,1,25920180
28,59,0,25920182
117,53,1,25920218
117,53,1,25920219
117,53,1,25920220
18,36,0,25920228
78,69,0,25920325
13,72,1,25920348
72,118,1,25920360
113,51,0,25920546
56,62,0,25920838
116,53,1,25920861
87,65,0,25920923
120,47,0,25920956
53,60,0,25921067
